FROM_CURNCY,TO_CURNCY,RATE
SEK,AUD,0.14089
DOP,AUD,0.02691
CAD,AUD,1.12999
NZD,AUD,0.90457
PHP,AUD,0.02602
USD,AUD,1.46614
SAR,AUD,0.39094
HKD,AUD,0.18677
SGD,AUD,1.04955
BGN,AUD,0.75979
HUF,AUD,0.0037
TWD,AUD,0.04903
PLN,AUD,0.31072
UAH,AUD,0.04968
CHF,AUD,1.50211
THB,AUD,0.04003
BRL,AUD,0.27121
MXN,AUD,0.07173
VND,AUD,0.00006
CZK,AUD,0.06061
NOK,AUD,0.145
GBP,AUD,1.75131
INR,AUD,0.01835
AED,AUD,0.39916
RON,AUD,0.30077
DKK,AUD,0.19964
IDR,AUD,0.0001
HRK,AUD,0.19775
MYR,AUD,0.32938
JPY,AUD,0.01061
CLP,AUD,0.0014
EUR,AUD,1.48602
ILS,AUD,0.42472
CNY,AUD,0.21739
RUB,AUD,0.02554
COP,AUD,0.00034
KRW,AUD,0.00111
RUB,CAD,0.0226
HRK,CAD,0.175
JPY,CAD,0.00939
VND,CAD,0.00006
NZD,CAD,0.80051
HUF,CAD,0.00328
AED,CAD,0.35324
MYR,CAD,0.29149
DOP,CAD,0.02381
KRW,CAD,0.00099
SAR,CAD,0.34597
HKD,CAD,0.16528
BRL,CAD,0.24001
USD,CAD,1.29748
GBP,CAD,1.54984
INR,CAD,0.01624
RON,CAD,0.26617
CZK,CAD,0.05364
TWD,CAD,0.04339
IDR,CAD,0.00009
THB,CAD,0.03543
DKK,CAD,0.17668
MXN,CAD,0.06348
EUR,CAD,1.31507
BGN,CAD,0.67238
UAH,CAD,0.04397
CHF,CAD,1.32931
PLN,CAD,0.27497
CLP,CAD,0.00123
AUD,CAD,0.88496
COP,CAD,0.0003
SGD,CAD,0.92881
PHP,CAD,0.02303
NOK,CAD,0.12832
ILS,CAD,0.37586
CNY,CAD,0.19238
SEK,CAD,0.12468
HUF,CHF,0.00246
DOP,CHF,0.01791
NZD,CHF,0.6022
BRL,CHF,0.18056
CNY,CHF,0.14472
ILS,CHF,0.28275
MXN,CHF,0.04776
HKD,CHF,0.12434
NOK,CHF,0.09653
INR,CHF,0.01222
DKK,CHF,0.13291
UAH,CHF,0.03308
BGN,CHF,0.50582
IDR,CHF,0.00007
JPY,CHF,0.00706
VND,CHF,0.00004
SAR,CHF,0.26026
PLN,CHF,0.20685
AUD,CHF,0.66573
RUB,CHF,0.017
SEK,CHF,0.0938
THB,CHF,0.02665
PHP,CHF,0.01732
TWD,CHF,0.03264
AED,CHF,0.26573
CAD,CHF,0.75227
COP,CHF,0.00022
RON,CHF,0.20023
EUR,CHF,0.98929
MYR,CHF,0.21928
GBP,CHF,1.1659
SGD,CHF,0.69872
KRW,CHF,0.00074
CLP,CHF,0.00093
CZK,CHF,0.04035
USD,CHF,0.97605
HRK,CHF,0.13165
COP,EUR,0.00023
USD,EUR,0.98662
CHF,EUR,1.01083
CLP,EUR,0.00094
ILS,EUR,0.28581
PHP,EUR,0.01751
TWD,EUR,0.03299
CAD,EUR,0.76042
HRK,EUR,0.13307
JPY,EUR,0.00714
INR,EUR,0.01235
NOK,EUR,0.09758
HUF,EUR,0.00249
VND,EUR,0.00004
THB,EUR,0.02694
MXN,EUR,0.04827
IDR,EUR,0.00007
HKD,EUR,0.12568
MYR,EUR,0.22165
DOP,EUR,0.01811
DKK,EUR,0.13435
CZK,EUR,0.04079
SAR,EUR,0.26308
BGN,EUR,0.51129
BRL,EUR,0.18251
RON,EUR,0.2024
KRW,EUR,0.00075
GBP,EUR,1.17852
CNY,EUR,0.14629
AED,EUR,0.26861
UAH,EUR,0.03343
SGD,EUR,0.70628
AUD,EUR,0.67294
SEK,EUR,0.09481
RUB,EUR,0.01719
NZD,EUR,0.60872
PLN,EUR,0.20909
VND,GBP,0.00004
INR,GBP,0.01048
